date,count,day_of_week,Public Holiday
2021-08-25,4131,Wednesday,Working Day
2021-08-26,4036,Thursday,Working Day
2021-08-27,3912,Friday,Working Day
2021-08-28,4275,Saturday,Working Day
2021-08-29,1626,Sunday,Working Day
2021-08-30,4788,Monday,Krishna Jayanthi
2021-08-31,4112,Tuesday,Working Day
2021-09-01,3612,Wednesday,Working Day
2021-09-02,4042,Thursday,Working Day
2021-09-03,3720,Friday,Working Day
2021-09-04,3797,Saturday,Working Day
2021-09-05,1623,Sunday,Working Day
2021-09-06,4031,Monday,Working Day
2021-09-07,3950,Tuesday,Working Day
2021-09-08,3326,Wednesday,Working Day
2021-09-09,3216,Thursday,Working Day
2021-09-10,3151,Friday,Vinayakar Chathurthi
2021-09-11,3878,Saturday,Working Day
2021-09-12,1650,Sunday,Working Day
2021-09-13,4579,Monday,Working Day
2021-09-14,4367,Tuesday,Working Day
2021-09-15,4023,Wednesday,Working Day
2021-09-16,3852,Thursday,Working Day
2021-09-17,3945,Friday,Working Day
2021-09-18,3986,Saturday,Working Day
2021-09-19,1625,Sunday,Working Day
2021-09-20,4609,Monday,Working Day
2021-09-21,4594,Tuesday,Working Day
2021-09-22,4381,Wednesday,Working Day
2021-09-23,4541,Thursday,Working Day
2021-09-24,4035,Friday,Working Day
2021-09-25,4035,Saturday,Working Day
2021-09-26,1725,Sunday,Working Day
2021-09-27,4408,Monday,Working Day
2021-09-28,4320,Tuesday,Working Day
2021-09-29,4223,Wednesday,Working Day
2021-09-30,4321,Thursday,Working Day
2021-10-01,3693,Friday,Working Day
2021-10-02,4417,Saturday,Gandhi Jayanthi
2021-10-03,1678,Sunday,Working Day
2021-10-04,4409,Monday,Working Day
2021-10-05,4105,Tuesday,Working Day
2021-10-06,3755,Wednesday,Working Day
2021-10-07,3889,Thursday,Working Day
2021-10-08,4067,Friday,Working Day
2021-10-09,3841,Saturday,Working Day
2021-10-10,1631,Sunday,Working Day
2021-10-11,4148,Monday,Working Day
2021-10-12,3869,Tuesday,Working Day
2021-10-13,3585,Wednesday,Working Day
2021-10-14,3087,Thursday,Ayutha Pooja
2021-10-15,3901,Friday,Vijaya Dasami
2021-10-16,3757,Saturday,Working Day
2021-10-17,1636,Sunday,Working Day
2021-10-18,4289,Monday,Working Day
2021-10-19,4501,Tuesday,Milad-un-Nabi
2021-10-20,3618,Wednesday,Working Day
2021-10-21,3682,Thursday,Working Day
2021-10-22,3523,Friday,Working Day
2021-10-23,3563,Saturday,Working Day
2021-10-24,1645,Sunday,Working Day
2021-10-25,3617,Monday,Working Day
2021-10-26,3503,Tuesday,Working Day
2021-10-27,3359,Wednesday,Working Day
2021-10-28,3379,Thursday,Working Day
2021-10-29,3079,Friday,Working Day
2021-10-30,2834,Saturday,Working Day
2021-10-31,1311,Sunday,Working Day
2021-11-01,2896,Monday,Working Day
2021-11-02,2425,Tuesday,Working Day
2021-11-03,1924,Wednesday,Working Day
2021-11-04,1371,Thursday,Deepavali
2021-11-05,3519,Friday,Working Day
2021-11-06,4066,Saturday,Working Day
2021-11-07,1334,Sunday,Working Day
2021-11-08,4104,Monday,Working Day
2021-11-09,3727,Tuesday,Working Day
2021-11-10,3053,Wednesday,Working Day
2021-11-11,3522,Thursday,Working Day
2021-11-12,3580,Friday,Working Day
2021-11-13,3678,Saturday,Working Day
2021-11-14,1491,Sunday,Working Day
2021-11-15,3732,Monday,Working Day
2021-11-16,3961,Tuesday,Working Day
2021-11-17,3667,Wednesday,Working Day
2021-11-18,3419,Thursday,Working Day
2021-11-19,2872,Friday,Working Day
2021-11-20,3572,Saturday,Working Day
2021-11-21,1581,Sunday,Working Day
2021-11-22,4368,Monday,Working Day
2021-11-23,4094,Tuesday,Working Day
2021-11-24,3927,Wednesday,Working Day
2021-11-25,3636,Thursday,Working Day
2021-11-26,3254,Friday,Working Day
2021-11-27,3633,Saturday,Working Day
2021-11-28,1637,Sunday,Working Day
2021-11-29,3819,Monday,Working Day
2021-11-30,3574,Tuesday,Working Day
2021-12-01,3652,Wednesday,Working Day
2021-12-02,3726,Thursday,Working Day
2021-12-03,3682,Friday,Working Day
2021-12-04,3508,Saturday,Working Day
2021-12-05,1620,Sunday,Working Day
2021-12-06,4048,Monday,Working Day
2021-12-07,4066,Tuesday,Working Day
2021-12-08,3872,Wednesday,Working Day
2021-12-09,3698,Thursday,Working Day
2021-12-10,3598,Friday,Working Day
2021-12-11,4209,Saturday,Working Day
2021-12-12,1704,Sunday,Working Day
2021-12-13,4257,Monday,Working Day
2021-12-14,4272,Tuesday,Working Day
2021-12-15,4336,Wednesday,Working Day
2021-12-16,4075,Thursday,Working Day
2021-12-17,3978,Friday,Working Day
2021-12-18,4035,Saturday,Working Day
2021-12-19,1633,Sunday,Working Day
2021-12-20,4517,Monday,Working Day
2021-12-21,4331,Tuesday,Working Day
2021-12-22,4207,Wednesday,Working Day
2021-12-23,4271,Thursday,Working Day
2021-12-24,3937,Friday,Working Day
2021-12-25,3968,Saturday,Christmas
2021-12-26,1629,Sunday,Working Day
2021-12-27,4855,Monday,Working Day
2021-12-28,4954,Tuesday,Working Day
2021-12-29,4849,Wednesday,Working Day
2021-12-30,4722,Thursday,Working Day
2021-12-31,3742,Friday,Working Day
2022-01-01,2064,Saturday,New Year's Day
2022-01-02,1618,Sunday,Working Day
2022-01-03,4010,Monday,Working Day
2022-01-04,3981,Tuesday,Working Day
2022-01-05,3914,Wednesday,Working Day
2022-01-06,4113,Thursday,Working Day
2022-01-07,3735,Friday,Working Day
2022-01-08,3657,Saturday,Working Day
2022-01-09,1277,Sunday,Working Day
2022-01-10,3572,Monday,Working Day
2022-01-11,3853,Tuesday,Working Day
2022-01-12,3064,Wednesday,Working Day
2022-01-13,2402,Thursday,Working Day
2022-01-14,1450,Friday,Pongal
2022-01-15,2566,Saturday,Thiruvalluvar Day
2022-01-16,1271,Sunday,Uzhavar Thirunal
2022-01-17,4137,Monday,Working Day
2022-01-18,4358,Tuesday,Thai Poosam
2022-01-19,3840,Wednesday,Working Day
2022-01-20,3920,Thursday,Working Day
2022-01-21,3628,Friday,Working Day
2022-01-22,3495,Saturday,Working Day
2022-01-23,1271,Sunday,Working Day
