date,count
2022-01-25,3844
2022-01-26,3951
2022-01-27,3634
2022-01-28,3635
2022-01-29,3599
2022-01-30,1329
2022-01-31,3762
2022-02-01,3509
2022-02-02,3644
2022-02-03,3786
2022-02-04,3555
2022-02-05,3648
2022-02-06,1396
2022-02-07,4002
2022-02-08,4111
2022-02-09,3797
2022-02-10,3814
2022-02-11,3388
2022-02-12,3952
2022-02-13,1742
2022-02-14,3923
2022-02-15,4231
2022-02-16,3862
2022-02-17,3841
2022-02-18,3999
2022-02-19,3952
2022-02-20,1484
2022-02-21,4825
2022-02-22,4167
2022-02-23,4431
2022-02-24,4421
2022-02-25,4116
2022-02-26,4311
2022-02-27,1706
2022-02-28,4444
2022-03-01,3658
2022-03-02,3973
2022-03-03,4380
2022-03-04,4067
2022-03-05,4242
2022-03-06,1906
2022-03-07,4792
2022-03-08,4957
2022-03-09,4909
2022-03-10,4538
2022-03-11,4481
2022-03-12,4560
2022-03-13,1796
2022-03-14,4498
2022-03-15,4874
2022-03-16,4601
2022-03-17,4429
2022-03-18,4046
2022-03-19,4540
2022-03-20,1824
2022-03-21,4605
2022-03-22,5059
2022-03-23,4920
2022-03-24,4955
2022-03-25,4421
2022-03-26,4326
2022-03-27,1891
2022-03-28,4207
2022-03-29,3895
2022-03-30,4451
2022-03-31,4420
2022-04-01,4057
2022-04-02,4690
2022-04-03,1783
2022-04-04,4375
2022-04-05,4327
2022-04-06,3999
2022-04-07,4462
2022-04-08,4134
2022-04-09,4390
2022-04-10,1742
2022-04-11,4442
2022-04-12,4080
2022-04-13,3959
2022-04-14,2942
2022-04-15,3984
2022-04-16,2730
2022-04-17,1545
2022-04-18,4645
2022-04-19,4833
2022-04-20,4714
2022-04-21,4614
2022-04-22,4287
2022-04-23,4184
2022-04-24,1956
2022-04-25,4606
2022-04-26,4722
2022-04-27,4768
2022-04-28,4364
2022-04-29,3839
2022-04-30,3702
2022-05-01,1751
2022-05-02,4331
2022-05-03,4389
2022-05-04,4334
2022-05-05,4694
2022-05-06,4350
2022-05-07,4223
2022-05-08,1878
2022-05-09,4615
2022-05-10,4555
2022-05-11,4544
2022-05-12,4377
2022-05-13,3960
2022-05-14,4360
2022-05-15,1724
2022-05-16,4843
2022-05-17,4829
2022-05-18,4845
2022-05-19,4744
2022-05-20,4368
2022-05-21,4372
2022-05-22,1818
2022-05-23,5125
2022-05-24,4919
2022-05-25,4760
2022-05-26,4853
2022-05-27,4511
2022-05-28,4361
2022-05-29,1948
2022-05-30,4561
2022-05-31,4240
2022-06-01,3947
2022-06-02,4516
2022-06-03,3900
2022-06-04,4067
2022-06-05,1550
2022-06-06,5059
2022-06-07,4899
2022-06-08,4620
2022-06-09,4198
2022-06-10,4109
2022-06-11,4445
2022-06-12,1902
2022-06-13,4134
2022-06-14,4767
2022-06-15,4804
2022-06-16,4879
2022-06-17,4426
2022-06-18,4763
2022-06-19,1861
2022-06-20,4940
2022-06-21,4931
2022-06-22,4813
2022-06-23,4799
2022-06-24,4585
2022-06-25,4948
2022-06-26,1871
2022-06-27,4679
2022-06-28,4676
2022-06-29,4667
2022-06-30,4649
2022-07-01,4344
2022-07-02,4815
2022-07-03,1911
2022-07-04,4938
2022-07-05,4752
2022-07-06,4835
2022-07-07,4736
2022-07-08,4496
2022-07-09,5079
2022-07-10,1591
2022-07-11,4693
2022-07-12,4844
2022-07-13,4598
2022-07-14,4761
2022-07-15,4468
2022-07-16,4665
2022-07-17,1893
2022-07-18,4856
2022-07-19,4990
2022-07-20,4926
2022-07-21,4724
2022-07-22,4241
2022-07-23,4714
2022-07-24,1960
2022-07-25,4837
2022-07-26,4792
2022-07-27,4609
2022-07-28,3814
2022-07-29,4057
2022-07-30,4649
2022-07-31,1679
2022-08-01,4570
2022-08-02,4295
2022-08-03,3324
2022-08-04,4061
2022-08-05,3551
2022-08-06,4030
2022-08-07,1574
2022-08-08,4823
2022-08-09,5488
2022-08-10,4369
2022-08-11,4396
2022-08-12,4022
2022-08-13,4774
2022-08-14,1799
2022-08-15,4417
2022-08-16,4562
2022-08-17,4484
2022-08-18,4612
2022-08-19,4655
2022-08-20,4365
2022-08-21,1838
2022-08-22,4358
2022-08-23,4606
2022-08-24,4234
2022-08-25,4460
2022-08-26,3962
2022-08-27,4383
2022-08-28,1747
2022-08-29,3932
2022-08-30,3974
2022-08-31,3332
2022-09-01,3573
2022-09-02,3682
2022-09-03,4199
2022-09-04,1769
2022-09-05,4321
2022-09-06,4135
2022-09-07,3590
2022-09-08,3673
2022-09-09,3831
2022-09-10,4468
2022-09-11,1765
2022-09-12,4474
2022-09-13,4745
2022-09-14,4432
2022-09-15,4484
2022-09-16,4149
2022-09-17,4542
2022-09-18,1873
2022-09-19,4854
2022-09-20,4787
2022-09-21,4635
2022-09-22,4560
2022-09-23,3958
2022-09-24,4240
2022-09-25,1788
2022-09-26,4269
2022-09-27,4262
2022-09-28,4238
2022-09-29,4150
2022-09-30,3775
2022-10-01,4334
2022-10-02,1902
2022-10-03,5363
2022-10-04,3558
2022-10-05,4465
2022-10-06,4937
2022-10-07,4842
2022-10-08,4507
2022-10-09,1588
2022-10-10,4270
2022-10-11,4195
2022-10-12,4111
2022-10-13,3993
2022-10-14,3788
2022-10-15,4072
2022-10-16,1525
2022-10-17,4153
2022-10-18,3721
2022-10-19,3374
2022-10-20,3190
2022-10-21,2859
2022-10-22,2932
2022-10-23,1340
2022-10-24,1423
2022-10-25,3772
2022-10-26,4504
2022-10-27,4612
2022-10-28,4201
2022-10-29,4400
2022-10-30,1765
2022-10-31,4670
2022-11-01,4660
2022-11-02,4664
2022-11-03,4653
2022-11-04,4159
2022-11-05,4714
2022-11-06,1728
2022-11-07,4459
2022-11-08,4548
2022-11-09,4391
2022-11-10,4307
2022-11-11,4027
2022-11-12,4259
2022-11-13,1804
2022-11-14,4406
2022-11-15,4398
2022-11-16,4297
2022-11-17,4086
2022-11-18,4150
2022-11-19,4645
2022-11-20,1675
2022-11-21,4599
2022-11-22,4514
2022-11-23,4295
2022-11-24,4192
2022-11-25,4093
2022-11-26,4782
2022-11-27,1765
2022-11-28,4640
2022-11-29,4448
2022-11-30,4302
2022-12-01,3982
2022-12-02,3856
2022-12-03,4135
2022-12-04,1598
2022-12-05,4008
2022-12-06,3367
2022-12-07,4003
2022-12-08,4350
2022-12-09,3794
2022-12-10,4234
2022-12-11,1340
2022-12-12,4360
2022-12-13,4290
2022-12-14,4187
2022-12-15,4183
2022-12-16,3817
2022-12-17,4327
2022-12-18,1709
2022-12-19,4469
2022-12-20,4420
2022-12-21,4132
2022-12-22,4083
2022-12-23,3630
2022-12-24,4365
2022-12-25,1931
2022-12-26,5068
2022-12-27,5132
2022-12-28,5118
2022-12-29,5085
2022-12-30,4595
2022-12-31,3935
2023-01-01,1376
2023-01-02,3850
2023-01-03,3965
2023-01-04,3804
2023-01-05,3894
2023-01-06,3814
2023-01-07,4048
2023-01-08,1490
2023-01-09,4025
2023-01-10,3908
2023-01-11,3533
2023-01-12,3300
2023-01-13,2797
2023-01-14,2554
2023-01-15,1283
2023-01-16,3070
2023-01-17,3909
2023-01-18,4232
2023-01-19,4391
2023-01-20,4179
2023-01-21,4242
2023-01-22,1638
2023-01-23,4526
2023-01-24,4551
2023-01-25,4344
2023-01-26,4642
2023-01-27,3987
2023-01-28,4551
2023-01-29,1753
2023-01-30,4415
2023-01-31,4139
2023-02-01,3791
2023-02-02,3942
2023-02-03,3455
2023-02-04,4044
2023-02-05,1678
2023-02-06,4406
2023-02-07,4386
2023-02-08,4287
2023-02-09,4267
2023-02-10,3971
2023-02-11,4638
2023-02-12,1785
2023-02-13,4518
2023-02-14,4544
2023-02-15,4590
2023-02-16,4141
2023-02-17,3653
2023-02-18,3886
2023-02-19,1437
2023-02-20,4293
2023-02-21,4219
2023-02-22,4117
2023-02-23,4077
2023-02-24,3996
2023-02-25,4386
2023-02-26,1862
2023-02-27,4606
2023-02-28,4641
2023-03-01,4493
2023-03-02,4406
2023-03-03,3853
2023-03-04,4236
2023-03-05,1823
2023-03-06,4563
2023-03-07,4464
2023-03-08,4512
2023-03-09,4571
2023-03-10,4273
2023-03-11,4967
2023-03-12,1843
2023-03-13,5152
2023-03-14,4762
2023-03-15,4862
2023-03-16,4885
2023-03-17,4408
2023-03-18,4704
2023-03-19,1747
2023-03-20,4835
2023-03-21,4448
2023-03-22,5207
2023-03-23,4323
2023-03-24,3857
2023-03-25,4163
2023-03-26,1797
2023-03-27,4186
2023-03-28,4308
2023-03-29,4315
2023-03-30,4089
2023-03-31,3780
2023-04-01,3994
2023-04-02,1840
2023-04-03,4368
2023-04-04,4621
2023-04-05,3745
2023-04-06,4072
2023-04-07,4793
2023-04-08,4121
2023-04-09,1719
2023-04-10,4391
2023-04-11,4537
2023-04-12,4419
2023-04-13,3895
2023-04-14,3029
2023-04-15,4087
2023-04-16,1637
2023-04-17,4774
2023-04-18,4563
2023-04-19,4066
2023-04-20,4328
2023-04-21,3986
2023-04-22,4228
2023-04-23,1481
2023-04-24,4607
2023-04-25,4721
2023-04-26,4370
2023-04-27,4372
2023-04-28,4335
2023-04-29,4336
2023-04-30,1733
2023-05-01,5350
2023-05-02,4425
2023-05-03,4812
2023-05-04,4154
2023-05-05,3012
2023-05-06,4196
2023-05-07,1879
2023-05-08,5762
2023-05-09,5454
2023-05-10,5064
2023-05-11,4618
2023-05-12,4087
2023-05-13,4043
2023-05-14,1710
2023-05-15,5154
2023-05-16,5674
2023-05-17,5854
2023-05-18,5657
2023-05-19,4922
2023-05-20,4649
2023-05-21,1786
2023-05-22,4816
2023-05-23,5001
2023-05-24,4557
2023-05-25,4825
2023-05-26,5014
2023-05-27,4561
2023-05-28,1821
2023-05-29,5183
2023-05-30,4980
2023-05-31,4583
2023-06-01,4000
2023-06-02,4348
2023-06-03,4494
2023-06-04,1481
2023-06-05,5367
2023-06-06,5006
2023-06-07,4541
2023-06-08,4738
2023-06-09,4810
2023-06-10,4876
2023-06-11,1974
2023-06-12,4974
2023-06-13,5062
2023-06-14,4575
2023-06-15,4684
2023-06-16,4309
2023-06-17,4458
2023-06-18,1858
2023-06-19,4806
2023-06-20,5126
2023-06-21,4871
2023-06-22,4934
2023-06-23,4402
2023-06-24,5024
2023-06-25,1721
2023-06-26,4681
2023-06-27,4437
2023-06-28,3945
2023-06-29,4914
2023-06-30,4350
2023-07-01,4466
2023-07-02,1841
2023-07-03,4946
2023-07-04,4849
2023-07-05,4873
2023-07-06,4757
2023-07-07,4685
2023-07-08,5309
2023-07-09,1830
2023-07-10,5050
2023-07-11,5016
2023-07-12,5079
2023-07-13,4872
2023-07-14,4555
2023-07-15,4707
2023-07-16,1839
2023-07-17,4387
2023-07-18,4844
2023-07-19,4994
2023-07-20,4959
2023-07-21,4406
2023-07-22,4955
2023-07-23,1899
2023-07-24,4764
2023-07-25,4463
2023-07-26,4628
2023-07-27,4528
2023-07-28,4348
2023-07-29,5207
2023-07-30,1757
2023-07-31,4445
2023-08-01,4347
2023-08-02,3984
2023-08-03,3299
2023-08-04,3924
2023-08-05,4569
2023-08-06,1487
2023-08-07,4862
2023-08-08,4705
2023-08-09,4623
2023-08-10,4532
2023-08-11,4091
2023-08-12,4742
2023-08-13,1782
2023-08-14,4924
2023-08-15,4585
2023-08-16,4158
2023-08-17,4206
2023-08-18,4040
2023-08-19,4175
2023-08-20,1712
2023-08-21,4131
2023-08-22,4826
2023-08-23,4439
2023-08-24,4450
2023-08-25,4047
2023-08-26,4621
2023-08-27,1808
2023-08-28,4837
2023-08-29,4569
2023-08-30,4364
2023-08-31,4258
2023-09-01,4144
2023-09-02,4443
2023-09-03,1890
2023-09-04,4696
